Results of running Java Ranger on various benchmarks on heathrow. heathrow is a machine that has 192 GB RAM and a Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz processor. Each run was limited to using up to 8 GB of memory using the -Xmx option to java.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Solver Statistics,,,,Region statistics,,,,,,,,Instantiation metrics,,,,,,Static Analysis results,,,,,Metrics for exceptions,,
ApacheCLI,6,5,5032089,1083,5031006,93328,1050452,3307654,143159,306,5,1,15,0,0,1,0,16,439072,1,5892896,0,0,1,83,49,2,64,1.333333333,0,0,0
ApacheCLI,6+1,1,31886455,0,31886455,4839812,64432586,9470833,2421020,5919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
ApacheCLI,6+1,2,3839200,594,3838606,171818,756030,1770804,61204,121,4,2,14,0,0,2,0,16,813694,2,10922718,0,0,2,34,0,2,4,2.264705882,0,0,0
ApacheCLI,6+1,3,3678376,803,3677573,171818,756030,1716274,56785,114,4,2,14,0,0,2,0,16,813694,2,10922718,0,0,2,83,49,2,64,1.333333333,0,0,0
ApacheCLI,6+1,4,10475275,841,10474434,171818,2383418,7287933,278641,508,4,2,14,0,0,2,0,16,813694,2,10922718,0,0,2,83,49,2,64,1.333333333,0,0,0
ApacheCLI,6+1,5,11637335,742,11636593,171818,2385043,8010246,318172,937,5,1,15,0,0,1,0,16,847837,1,11081686,0,0,1,83,49,2,64,1.333333333,0,0,0
ApacheCLI,7,1,43181000,0,43181000,4114753,98058899,17579650,7346840,11187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
ApacheCLI,7,2,13195060,546,13194514,555143,1301110,5480163,213728,487,4,2,16,0,0,2,0,16,3610342,2,26879632,0,0,2,34,0,2,4,2.264705882,0,0,0
ApacheCLI,8,2,43191561,558,43191003,2050049,4613096,20106526,678710,948,4,2,12,0,0,2,0,16,9672748,2,2631464,0,0,2,34,0,2,4,2.264705882,0,0,0
ApacheCLI,7+1,1,43191000,0,43191000,3725921,144990567,17875860,4851661,12698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
ApacheCLI,7+1,2,26186626,466,26186160,986522,3095212,11608660,422603,664,4,2,16,0,0,2,0,16,6854478,2,50727332,0,0,2,34,0,2,4,2.264705882,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MerArbiter,24,1,5456648,0,5456648,707972,271571,38138,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
MerArbiter,24,2,1741081,11734,1729347,40752,126384,50502,6490,20,34,1,85,0,1,0,0,98,66514,1,19060986,0,1,0,2380,0,7,11,2.369327731,0,0,0
MerArbiter,24,3,1783310,20639,1762671,40752,126384,48857,6589,21,34,1,85,0,1,0,0,98,66514,1,19060986,0,1,0,5293,2913,7,16384,6.572832042,0,0,0
MerArbiter,24,4,1969937,19997,1949940,40752,258672,109488,19413,30,35,0,85,0,0,0,0,98,68191,0,19060986,0,0,0,5293,2913,7,16384,6.572832042,0,0,0
MerArbiter,24,5,2011675,21110,1990565,40752,258672,114509,21843,30,35,0,85,0,0,0,0,98,68191,0,19060986,0,0,0,5293,2913,7,16384,6.572832042,0,0,0
MerArbiter,28,1,43191000,0,43191000,1731221,4852988,2258472,259157,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
MerArbiter,28,2,12088235,13361,12074874,276144,871304,439035,48595,235,34,1,85,0,1,0,0,98,463868,1,128296157,0,1,0,2380,0,7,11,2.369327731,0,0,0
MerArbiter,32,1,43191000,0,43191000,1740448,4898394,2203925,257122,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
MerArbiter,32,2,43203032,12032,43191000,963516,3063388,2044658,201082,572,34,1,81,0,1,0,0,98,1654614,1,453621654,0,1,0,2380,0,7,11,2.369327731,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena,9,1,43200000,0,43200000,31756960,80835893,25557262,3474955,9745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
Siena,9,2,43192325,1325,43191000,31035343,78999052,24580415,3177332,10372,0,4,10,0,0,4,0,12,0,4,62088670,0,0,4,70,0,12,13,4.942857143,0,0,0
Siena,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena,6,1,4883384,0,4883384,2985984,7600684,2087250,292612,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
Siena,6,5,5035334,1551,5033783,2985984,7600684,2092015,292644,809,0,4,10,0,0,4,0,12,0,4,8959692,0,0,4,95,25,12,312,10.98947368,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule2,3,1,773,0,773,343,684,172,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
Schedule2,3,2,1744,579,1165,343,684,178,64,0,0,6,21,0,0,6,0,27,0,6,2828,0,0,6,27,0,6,7,2.777777778,0,0,0
Schedule2,3,3,2370,634,1736,343,684,185,80,0,0,6,21,6,0,0,0,27,0,6,2828,6,0,0,52,25,6,8,2.326923077,0,0,0
Schedule2,3,4,2276,673,1603,343,684,167,61,0,0,6,21,6,0,0,0,27,0,6,2828,6,0,0,52,25,6,8,2.326923077,0,0,0
Schedule2,3,5,2279,722,1557,343,684,172,63,0,0,6,21,6,0,0,0,27,0,6,2828,6,0,0,52,25,6,8,2.326923077,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Static Analysis timing table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBS,TCAS,replace,NanoXML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,4509,3980,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena,Schedule2,PrintTokens2,ApacheCLI,MerArbiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,722,1180,910,20639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
